	strain_host	corrected_host	latin_name	category	order	domesticstatus	source
312	copsychussaularis	orientalmagpierobin	Copsychus saularis	passerine	passeriformes	wild	jordan
313	coragypsatratus	blackvulture	Coragyps atratus	raptor	accipitriformes	wild	jordan
314	cormorant	cormorant	Phalacrocoracidae	cormorant	suliformes	wild	clara_nam,clara_birds,clara_global
315	corvus_frugilegus	rook		passerine	passeriformes	wild	clara_birds
316	corvuscorvus			passerine	passeriformes	wild	jordan,clara_global
317	corvusmonedula	eurasianjackdaw	Coloeus monedula	passerine	passeriformes	wild	jordan,clara_global
318	corvusossifragus	fishcrow	Corvus ossifragus	crow	passeriformes	wild	clara_nam,clara_global
319	coscorobaswan	coscorobaswan	Coscoroba coscoroba	swan	anseriformes	wild	jordan,clara_global
320	coturnix	quail		quail	galliformes	unknown	clara_birds
321	crane	crane	Gruidae	crane	gruiformes	wild	clara_nam,clara_birds,clara_global
322	crested_eagle	crestedeagle	Morphnus guianensus	raptor	accipitriformes	wild	clara_birds
323	crestedcaracara	crestedcaracara	Caracara plancus	raptor	falconiformes	wild	clara_nam,clara_global
324	crestedeagle	crestedeagle	Morphnus guianensus	raptor	accipitriformes	wild	clara_birds
325	crestedgoshawk	crestedgoshawk	Lophospiza trivirgata	raptor	accipitriformes	wild	clara_birds
326	crestedjay	crestedjayshrike	Platylophus galericulatus	passerine	passeriformes	wild	jordan
327	crestedmyna	crestedmyna	Acridotheres cristatellus	passerine	passeriformes	wild	clara_birds
328	crestedscreamer	crestedscreamer	Chauna torquata	wader	anseriformes	unknown	clara_nam
329	crow	crow	Corvus brachyrhynchos	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
330	crownedcormorant	crownedcormorant	Microcarbo coronatus	cormorant	suliformes	wild	jordan
331	crownedcranezoo	greycrownedcrane	Balearica regulorum	crane	gruiformes	unknown	jordan,clara_global
332	curlew	curlew		wader	charadriiformes	wild	clara_birds,clara_global
333	cygnus			swan	anseriformes	unknown	jordan,clara_global
334	cygnus_columbianus	tundraswan	Cygnus columbianus	swan	anseriformes	wild	clara_birds
335	cygnus_cygnus	whooperswan	Cygnus cygnus	swan	anseriformes	wild	clara_birds
336	cygnus_olor	muteswan	Cygnus olor	swan	anseriformes	wild	clara_birds
337	cygnusatratus	blackswan	Cygnus atratus	swan	anseriformes	wild	jordan
338	cygnuscolumbianus	tundraswan	Cygnus columbianus	swan	anseriformes	wild	jordan,clara_global
339	cygnuscygnus	whooperswan	Cygnus cygnus	swna	anseriformes	wild	clara_birds,clara_global
340	cygnusolor	muteswan	Cygnus olor	swan	anseriformes	wild	clara_birds,clara_global
341	dack	duck		duck	anseriformes	unknown	clara_birds
342	dalmatianpelican	dalmatianpelican	Pelecanus crispus	pelican	pelecaniformes	unknown	clara_nam,clara_birds,clara_global
343	darkeyedjunco	darkeyedjunco	Junco hyemalis	passerine	passeriformes	wild	clara_nam
344	daurianstarling	daurianstarling	Agropsar sturninus	passerine	passeriformes	wild	clara_birds
345	decoyduck					unknown	jordan
346	dendrocygna_viduata	whitefacedwhistlingduck	Dendrocygna viduata	duck	anseriformes	wild	clara_birds
347	dk	avian		avian	avian	unknown	clara_birds
348	dog	canine		canine	canine	unknown	clara_birds
349	domestic_duck	duck		duck	anseriformes	domestic	clara_birds
350	domestic_green_winged_teal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	domestic	clara_birds
351	domestic_green-winged_teal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	domestic	clara_birds
352	domesticchicken	chicken	Gallus gallus	chicken	galliformes	domestic	jordan
353	domesticduck	domesticduck		duck	anseriformes	domestic	clara_nam,clara_birds,clara_global
354	domesticgoose	domesticgoose	Anser anser domesticus or anser cygnoides domesticus	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
355	domesticgreen_wingedteal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	domestic	clara_birds
356	domesticgreen-wingedteal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	domestic	clara_birds
357	domesticmallard	mallard	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds,jordan
358	domesticmallardduck	mallard	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds
359	domesticturkey	domesticturkey	Meleagris gallopavo	turkey	galliformes	domestic	clara_nam,clara_birds,clara_global
360	donkey	donkey		donkey	equine	unknown	clara_birds
361	doublecrestedco	doublecrestedcormorant	Phalacrocorax auritus	cormorant	suliformes	wild	jordan
362	doublecrestedcormorant	doublecrestedcormorant	Phalacrocorax auritus	cormorant	suliformes	wild	clara_nam,clara_birds,clara_global
363	dove	dove		dove	columbiformes	wild	clara_nam,clara_birds,clara_global
364	dovekie	dovekie	Alle alle	seabird	charadriiformes	wild	clara_nam
365	duck	duck		duck	anseriformes	unknown	clara_nam,clara_birds,clara_global
366	duck_broiler	duck		duck	anseriformes	domestic	clara_birds
367	duckbroiler	duck		duck	anseriformes	domestic	clara_birds,jordan
368	ducks					unknown	jordan
369	dunlin	dunlin	Calidris alpina	wader	charadriiformes	wild	clara_nam,clara_global
370	eagle	eagle		raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
371	eagleowl	eurasianeagleowl	Bubo bubo	owl	strigiformes	wild	clara_birds,clara_global
372	earedgrebe	earedgrebe	Podiceps nigricollis	grebe	podicipediformes	wild	clara_nam,clara_birds,clara_global
373	easternbuzzard	easternbuzzard	Buteo japonicus	raptor	accipitriformes	wild	clara_birds,jordan,clara_global
374	easternscreechowl	easternscreechowl	Megascops asio	owl	strigiformes	wild	clara_nam
375	eg	avian		avian	avian	unknown	clara_birds
376	egret	egret		heron	pelecaniformes	wild	clara_birds,clara_global
377	egrettagarzetta	littleegret	Egretta garzetta	heron	pelecaniformes	wild	clara_birds,jordan,clara_global
378	egyptiangoose	egyptiangoose	Alopochen aegyptiaca	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
379	eider	commoneider	Somateria mollissima	duck	anseriformes	wild	clara_nam,clara_global
380	embdengoose	embdengoose	Anser anser domesticus or anser cygnoides domesticus	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
381	emperor_goose	emperorgoose	Anser canagicus	goose	anseriformes	wild	clara_birds
382	emperorgoose	emperorgoose	Anser canagicus	goose	anseriformes	wild	jordan
383	emu	emu	Dromaius novaehollandiae	emu	casuariiformes	domestic	clara_nam,clara_birds,clara_global
384	emy	emu	Dromaius novaehollandiae	emu	casuariiformes	domestic	jordan
385	environment	environment		environment	environmen	unknown	clara_birds
386	eq	equine		equine	equine	unknown	clara_birds
387	equi_2	equine		equine	equine	unknown	clara_birds
388	equine	equine		equine	equine	unknown	clara_birds
389	equus_caballus	equine		equine	equine	unknown	clara_birds
390	equus_ferus_caballus	equine		equine	equine	unknown	clara_birds
391	Eurasian_coot	eurasiancoot	Fulica atra	coot	gruiformes	wild	clara_birds
392	eurasian_eagle_owl	eurasianeagleowl	Bubo bubo	owl	strigiformes	wild	clara_birds
393	eurasiancollareddove	eurasiancollareddove	Streptopelia decaocto	dove	columbiformes	wild	clara_nam,clara_global
394	eurasiancoot	eurasiancoot	Fulica atra	coot	gruiformes	wild	jordan
395	eurasiancurlew	eurasiancurlew	Numenius arquata	wader	charadriiformes	wild	clara_birds,clara_global
396	eurasianeagelowl	eurasianeagleowl	Bubo bubo	owl	strigiformes	wild	clara_birds
397	eurasianeagleowl	eurasianeagleowl	Bubo bubo	owl	strigiformes	wild	clara_birds,clara_global
398	eurasiangoshawk	eurasiangoshawk	Astur gentilis	raptor	accipitriformes	wild	jordan
399	eurasianherringgull	eurasianherringgull	Larus argentatus	gull	charadriiformes	wild	jordan
400	eurasianjay	eurasianjay	Garrulus glandarius	passerine	passeriformes	wild	jordan,clara_global
401	eurasianmagpie	eurasianmagpie	Pica pica	passerine	passeriformes	wild	jordan,clara_global
402	eurasianoystercatcher	eurasianoystercatcher	Haematopus ostralegus	wader	charadriiformes	wild	jordan,clara_global
403	eurasiansparrowhawk	eurasiansparrowhawk	Accipiter nisus	raptor	accipitriformes	wild	clara_birds,clara_global
404	eurasianspoonbill	eurasianspoonbill	Platalea leucorodia	spoonbill	pelecaniformes	wild	clara_birds,clara_global
405	eurasianteal	eurasiangreenwingedteal	Anas crecca	duck	anseriformes	wild	clara_birds,clara_global
406	eurasianwigeon	eurasianwigeon	Mareca penelope	duck	anseriformes	wild	clara_birds,clara_global
407	eurasianwoodcock	eurasianwoodcock	Scolopax rusticola	wader	charadriiformes	wild	jordan
408	europeanbeeeater	europeanbeeeater	Merops apiaster	beeeater	coraciiformes	wild	jordan
409	europeanherringgull	eurasianherringgull	Larus argentatus	gull	charadriiformes	wild	clara_birds,clara_global
410	europeanherringgullnorway	eurasianherringgull	Larus argentatus	gull	charadriiformes	wild	jordan
411	europeanrobin	europeanrobin	Erithacus rubecula	passerine	passeriformes	wild	jordan
412	europeanstarling	europeanstarling	Sturnus vulgaris	passerine	passeriformes	wild	clara_nam
413	europeanteal	eurasiangreenwingedteal	Anas crecca	duck	anseriformes	wild	clara_birds
414	europeanturtledove	europeanturtledove	Streptopelia turtur	dove	columbiformes	wild	jordan
415	europeanwhitestork	whitestork	Ciconia ciconia	stork	ciconiiformes	wild	jordan
416	eurwig	eurasianwigeon	Mareca penelope	duck	anseriformes	wild	jordan
417	exotic_brid	exoticbird		avian	avian	unknown	clara_birds
418	falcatedduck	falcatedduck	Mareca falcata	duck	anseriformes	wild	clara_birds,jordan
419	falcon	falcon	Falco 	raptor	falconiformes	wild	clara_nam,clara_birds,clara_global
420	falcoperegrinus	peregrinefalcon	Falco peregrinus	raptor	falconiformes	wild	clara_birds,clara_global
421	falcorusticolus	gyrfalcon	Falco rusticolus	raptor	falconiformes	wild	clara_nam,clara_global
422	fancychicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds
423	feline	feline		feline	feline	unknown	clara_birds
424	felis_catus	feline		feline	feline	unknown	clara_birds
425	feralpigeon	pigeon		pigeon	columbiformes	wild	clara_birds
426	ferret	ferret		ferret	ferret	unknown	clara_birds
427	ferruginousduck	ferruginousduck	Aythya nyroca	duck	anseriformes	wild	jordan
428	ferruginoushawk	ferruginoushawk	Buteo regalis	raptor	accipitriformes	wild	clara_nam
429	finch	finch	Fringillidae	passerine	passeriformes	wild	clara_nam,clara_birds
430	finistere	swine		swine	swine	unknown	clara_birds
431	fishcrow	fishcrow	Corvus ossifragus	crow	passeriformes	wild	clara_nam,clara_global
432	fisheagle	africanfisheagle	Icthyophaga vocifer	eagle	accipitriformes	wild	jordan
433	flamingo	flamingo		wader	phoenicopteriformes	unknown	jordan,clara_global
434	forsterstern	forsterstern	Sterna forsteri	tern	charadriiformes	wild	clara_nam
435	fowl	fowl		fowl	galliformes	unknown	clara_birds
436	franklingull	franklinsgull	Leucophaeus pipixcan	gull	charadriiformes	wild	clara_nam,clara_global
437	franklinsgull	franklinsgull	Leucophaeus pipixcan	gull	charadriiformes	wild	clara_nam,clara_global
438	fulmar			seabird	procellariiformes	wild	jordan,clara_global
439	fulvouswhistlingduck	fulvouswhistlingduck	Dendrocygna bicolor	duck	anseriformes	wild	clara_nam
440	g.h	avian		avian	avian	unknown	clara_birds
441	gadwall	gadwall	Mareca strepera	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
442	gadwall_duck	gadwall	Mareca strepera	duck	anseriformes	wild	clara_birds
443	gadwallduck	gadwall	Mareca strepera	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
444	gallinulachloropus	waterhen	Gallinula chloropus	wader	gruiformes	wild	jordan
445	gallus	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam
446	gallus_gallus	chicken		chicken	galliformes	domestic	clara_birds
447	gallusgallus	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
448	gallusgallusdomesticus	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_global
449	gannet	gannet	Morus	seabird	suliformes	wild	clara_nam,clara_global
450	garganey	garganey	Spatula querquedula	duck	anseriformes	wild	clara_birds,jordan,clara_global
451	garrulusglandarius	eurasianjay	Garrulus glandarius	passerine	passeriformes	wild	jordan,clara_global
452	gcgrebe			grebe	podicipediformes	wild	jordan
453	geese	goose		goose	anseriformes	unknown	clara_birds,clara_global
454	gf	avian		avian	avian	unknown	clara_birds
455	gh	avian		avian	avian	unknown	clara_birds,jordan
456	glaucous_gull	glaucousgull	Larus hyperboreus	gull	charadriiformes	wild	clara_birds
457	glaucousgull	glaucousgull	Larus hyperboreus	gull	charadriiformes	wild	clara_nam,clara_global
458	glaucouswingedgull	glaucouswingedgull	Larus glaucescens	gull	charadriiformes	wild	clara_nam,clara_birds,clara_global
459	glossyibis	glossyibis	Plegadis falcinellus	wader	pelecaniformes	wild	clara_nam
460	go			unknown	unknown	unknown	jordan
461	goldeneagle	goldeneagle	Aquila chrysaetos	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
462	goldeneyeduck	commongoldeneye	Bucephala clangula	duck	anseriformes	wild	clara_birds
463	goldenmountainthrush	goldenmountainthrush	Turdus plebejus	passerine	passeriformes	wild	clara_birds
464	goldenpheasant	goldenpheasant	Chrysolophus pictus	pheasant	galliformes	unknown	clara_birds
465	goosander	commonmerganser	Mergus merganser	duck	anseriformes	wild 	clara_birds
466	goose	goose		goose	anseriformes	unknown	clara_nam,clara_birds,clara_global
467	goshawk	goshawk	Astur	raptor	accipitriformes	wild	clara_birds,clara_global
468	grackle	grackle		passerine	passeriformes	wild	clara_nam,clara_global
469	gray-crowedcrane	africancrownedcrane	Balearica regulorum	crane	gruiformes	wild	clara_birds
470	graygull	graygull	Leucophaeus modestus	gull	charadriiformes	wild	clara_birds,jordan,clara_global
471	grayheron	greyheron	Ardea cinerea	heron	pelecaniformes	wild	clara_birds,clara_global
472	graylaggoose	greylaggoose	Anser anser	goose	anseriformes	unknown	clara_nam,clara_birds,clara_global
473	grbkbdgull	greatblackbackedgull	Larus marinus	gull	charadriiformes	wild	jordan
474	great_black_headed_gull	pallassgull	Ichthyaetus ichthyaetus	gull	charadriiformes	wild	clara_birds
475	great_cormorant	greatcormorant	Phalacrocorax carbo	seabird	suliformes	wild	clara_birds
476	great_created_grebe	greatcrestedgrebe	Podiceps cristatus	grebe	podicipediformes	wild	clara_birds
477	great_crested_grebe	greatcrestedgrebe	Podiceps cristatus	grebe	podicipediformes	wild	clara_birds
478	great_egret	greategret	Ardea alba	egret	pelecaniformes	wild	clara_birds
479	greatbarbet	greatbarbet	Psilopogon virens	barbet	piciformes	wild	clara_birds
480	greatblack_headedgull	pallassgull	Ichthyaetus ichthyaetus	gull	charadriiformes	wild	clara_birds
481	greatblack-headedgull	pallassgull	Ichthyaetus ichthyaetus	gull	charadriiformes	wild	clara_birds
482	greatblackbackedgull	greatblackbackedgull	Larus marinus	gull	charadriiformes	wild	clara_nam,clara_birds,clara_global
483	greatblackbackedgulll	greatblackbackedgull	Larus marinus	gull	charadriiformes	wild	clara_nam,clara_global
484	greatblackbakedgull	greatblackbackedgull	Larus marinus	gull	charadriiformes	wild	clara_nam,clara_global
485	greatblackheadedgull	greatblackbackedgull	Larus marinus	gull	charadriiformes	wild	clara_birds
486	greatblueheron	greatblueheron	Ardea herodias	heron	pelecaniformes	wild	clara_nam,clara_birds,clara_global
487	greatcormorant	greatcormorant	Phalacrocorax carbo	seabird	suliformes	wild	clara_birds,clara_global
488	greatcrested-grebe	greatcrestedgrebe	Podiceps cristatus	grebe	podicipediformes	wild	clara_birds
489	greatcrestedgrebe	greatcrestedgrebe	Podiceps cristatus	grebe	podicipediformes	wild	clara_birds,clara_global
490	greatdrestedgrebe	greatcrestedgrebe	Podiceps cristatus	grebe	podicipediformes	wild	clara_birds
491	greategret	greategret	Ardea alba	egret	pelecaniformes	wild	clara_nam,clara_birds,clara_global
492	greatercanadagoose	canadagoose	Branta canadensis	goose	anseriformes	wild 	jordan,clara_global
493	greaterrhea	greaterrhea	Rhea americana	rhea	rheiformes	unknown	clara_nam,clara_global
494	greatersagegrouse	greatersagegrouse	Centrocercus urophasianus	groundbird	galliformes	wild	clara_nam
495	greaterscaup	greaterscaup	Aythya marila	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
496	greaterwhitefrontedgoose	greaterwhitefrontedgoose	Anser albifrons	goose	anseriformes	wild	clara_nam,clara_birds,clara_global
497	greateryellowlegs	greateryellowlegs	Tringa melanoleuca	wader	charadriiformes	wild	clara_nam,clara_global
498	greatgrabe	greatgrebe	Podiceps major	grebe	podicipediformes	wild	jordan,clara_global
499	greatgrebe	greatgrebe	Podiceps major	grebe	podicipediformes	wild	jordan,clara_global
500	greatgreyowl	greatgreyowl	Strix nebulosa	owl	strigiformes	wild	clara_nam,clara_global
501	greathornedowl	greathornedowl	Bubo virginianus	owl	strigiformes	wild	clara_nam,clara_birds,clara_global
502	greatshearwater	greatshearwater	Ardenna gravis	seabird	procellariiformes	wild	clara_nam
503	greatskua	greatskua	Stercorarius skua	seabird	charadriiformes	wild	jordan,clara_global
504	greattailedgrackle	greattailedgrackle	Quiscalus mexicanus	passerine	passeriformes	wild	clara_nam,clara_global
505	greattit	greattit	Parus major	passerine	passeriformes	wild	clara_birds
506	greatwhitepelican	greatwhitepelican	Pelecanus onocrotalus	pelican	pelecaniformes	wild	clara_birds
507	grebe	grebe		grebe	podicipediformes	wild	clara_birds,clara_global
508	green-winged_teal(anas_crecca)	eurasiangreenwingedteal	Anas crecca	duck	anseriformes	wild	clara_birds
509	greenfinch	greenfinch	Chloris	passerine	passeriformes	wild	jordan
510	greenheron	greenheron	Butorides virescens	heron	pelecaniformes	wild	clara_nam,clara_birds,clara_global
511	greenpeafowl	greenpeafowl	Pavo muticus	peafowl	galliformes	wild	clara_birds
512	greenpheasant	greenpheasant	Phasianus versicolor	pheasant	galliformes	wild	jordan
513	greensandpiper	greensandpiper	Tringa ochropus	wader	charadriiformes	wild	jordan,clara_global
514	greenwingedteal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
515	grey_heron	greyheron	Ardea cinerea	heron	pelecaniformes	wild	clara_birds
516	grey_teal	greyteal	Anas gracilis	duck	anseriformes	wild	clara_birds
517	greyduck	pacificblackduck	Anas superciliosa	duck	anseriformes	wild	clara_birds
518	greyfacedbuzzard	greyfacedbuzzard	Butastur indicus	raptor	accipitriformes	wild	jordan
519	greygo	greylaggoose	Anser anser	goose	anseriformes	unknown	jordan
520	greygoose	greylaggoose	Anser anser	goose	anseriformes	unknown	clara_birds,clara_global
521	greyheadedgull	greyheadedgull	Chroicocephalus cirrocelphalus	gull	charadriiformes	wild	jordan
522	greyheron	greyheron	Ardea cinerea	heron	pelecaniformes	wild	clara_birds,clara_global
523	greylaggoose	greylaggoose	Anser anser	goose	anseriformes	unknown	clara_birds,clara_global
524	greyteal	greyteal	Anas gracilis	duck	anseriformes	wild	jordan
525	griffonvulture	griffonvulture	Gyps fulvus	raptor	accipitriformes	wild	jordan,clara_global
526	gs	avian		avian	avian	unknown	clara_birds
527	guanaycormorant	guanaycormorant	Leucocarbo bougainvilliorum	cormorant	suliformes	wild	jordan,clara_global
528	guillemot			guillemot	charadriiformes	wild	jordan,clara_global
529	guinea_fowl	guineafowl	Numididae sp.	guineafowl	galliformes	unknown	clara_birds
530	guineafowl	guineafowl	Numididae sp.	guineafowl	galliformes	unknown	clara_nam,clara_birds,clara_global
531	gull	gull		gull	charadriiformes	wild	clara_nam,clara_birds,clara_global
532	gull1	gull		gull	charadriiformes	wild	jordan
533	gull10	gull		gull	charadriiformes	wild	jordan
534	gullbilledtern	gullbilledtern	Gelochelidon nilotica	tern	charadriiformes	wild	jordan,clara_global
535	gullspp	gull		gull	charadriiformes	wild	clara_nam
536	gypaetusbarbatus	beardedvulture	Gypaetus barbatus	raptor	accipitriformes	wild	clara_birds,jordan,clara_global
537	gyrfalcon	gyrfalcon	Falco rusticolus	raptor	falconiformes	wild	clara_nam,clara_global
538	haematopusostralegus	eurasianoystercatcher	Haematopus ostralegus	wader	charadriiformes	wild	jordan,clara_global
539	harbor_seal	harborseal		seal	seal	wild	clara_birds
540	harrishawk	harrishawk	Parabuteo unicintus	raptor	accipitriformes	wild	clara_nam,clara_global
541	harrisshawk	harrishawk	Parabuteo unicintus	raptor	accipitriformes	wild	clara_nam,clara_global
542	hartlaubsgull	hartlaubsgull	Chroicocephalus hartlaubii	gull	charadriiformes	wild	jordan
543	hatay			unknown	unknown	unknown	jordan
544	hawaiiangoose	hawaiiangoose	Branta sandvicensis	goose	anseriformes	wild	clara_birds,jordan,clara_global
545	hawk	hawk		raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
546	helmetedguineafowl	helmetedguineafowl	Numida meleagris	guineafowl	galliformes	wild	jordan
547	hen	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,clara_global
548	henharrier	chicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
549	hens	chicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
550	heringgull	herringgull	Larus argentatus	gull	charadriiformes	wild	clara_nam,clara_global
551	heron	heron	Ardeidae	heron	pelecaniformes	wild	clara_nam,clara_birds,clara_global
552	herringgull	herringgull	Larus argentatus	gull	charadriiformes	wild	clara_nam,clara_birds,clara_global
553	herringull	herringgull	Larus argentatus	gull	charadriiformes	wild	clara_nam,clara_global
554	hill_myna	commonhillmyna	Gracula religiosa	passerine	passeriformes	wild	clara_birds
555	hillmyna	commonhillmyna	Gracula religiosa	passerine	passeriformes	wild	clara_birds
556	hoabara	houbarabustard	Chlamydotis undulata	bustard	otidiformes	wild	clara_birds
557	hobbyfalcon	hobby		falcon	falconiformes	wild	jordan,clara_global
558	hollandpigeon	pigeon	Columba livia	dove	columbiformes	unknown	jordan
559	hongkong			unknown	unknown	unknown	jordan
560	hooded_crane	hoodedcrane	Grus monacha	crane	gruiformes	wild	clara_birds
561	hooded_merganser	hoodedmerganser	Lophodytes cucullatus	duck	anseriformes	wild	clara_birds
562	hoodedcrane	hoodedcrane	Grus monacha	crane	gruiformes	wild	clara_birds,clara_global
563	hoodedmerganser	hoodedmerganser	Lophodytes cucullatus	duck	anseriformes	wild	clara_nam,clara_global
564	hoodedvulture	hoodedvulture	Necrosyrtes monachus	raptor	accipitriformes	wild	clara_birds
565	hornedgrebe	hornedgrebe	Podiceps auritus	grebe	podicipediformes	wild	clara_nam,clara_global
566	horse	equine		equine	equine	unknown	clara_birds
567	houbarabustard	houbarabustard	Chlamydotis undulata	bustard	otidiformes	wild	clara_birds
568	housecrow	housecrow	Corvus splendens	crow	passeriformes	wild	clara_birds
569	housesparrow	housesparrow	Passer domesticus	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
570	humboldtpenguin	humboldtpenguin	Spheniscus humboldti	penguin	sphenisciformes	wild	jordan,clara_global
571	ibis			wader	pelecaniformes	wild	jordan
572	icelandgull	icelandgull	Larus glaucoides	gull	charadriiformes	wild	clara_nam
573	ichtyaetusmelanocephalus	mediterraneangull	Ichtyaetus Melanocephalus	gull	charadriiformes	wild	jordan,clara_global
574	incatern	incatern	Larosterna inca	tern	charadriiformes	wild	jordan,clara_global
575	indian_runner_duck	indianrunnerduck	Anas platyrhynchos domesticus	duck	anseriformes	domestic	clara_birds
576	indianpeafowl	commonpeafowl	Pavo cristatus	peafowl	galliformes	wild	jordan
577	indianrunnerduck	indianrunnerduck	Anas platyrhynchos domesticus	duck	anseriformes	domestic	clara_nam,clara_birds,clara_global
578	indianrunnerducks	indianrunnerduck	Anas platyrhynchos domesticus	duck	anseriformes	domestic	clara_nam,clara_global
579	jackalbuzzard	jackalbuzzard	Buteo rufofuscus	raptor	accipitriformes	wild	jordan
580	jackdaw	jackdaw	Coloeus	crow	passeriformes	wild	jordan
581	japanese_white_eye	warblingwhiteeye	Zosterops japonicus	passerine	passeriformes	wild	clara_birds
582	japanesewhite-eye	warblingwhiteeye	Zosterops japonicus	passerine	passeriformes	wild	clara_birds
583	japanesewhiteeye	warblingwhiteeye	Zosterops japonicus	passerine	passeriformes	wild	clara_birds
584	junglecrow	largebilledcrow	Corvus macrorhynchos	passerine	passeriformes	wild	clara_birds,jordan,clara_global
585	juvenileswan	swan		swan	anseriformes	unknown	clara_birds
586	kalijpheasant	kalijpheasant	Lophura leucomelanos	pheasant	galliformes	wild	clara_birds
587	kaljipheasant	kalijpheasant	Lophura leucomelanos	pheasant	galliformes	wild	clara_birds
588	kelpgull	kelpgull	Larus dominicanus	seabird	charadriiformes	wild	jordan,clara_global
589	kestral	kestral		falcon	falconiformes	wild	jordan
590	kestrel	kestrel		raptor	falconiformes	wild	clara_birds,clara_global
591	khakicampbellduck	khakicampbell	Anas platyrhynchos domesticus	duck	anseriformes	domestic	clara_nam
592	kingvulture	kingvulture	Sarcoramphus papa	raptor	cathartiformes	unknown	clara_nam,clara_global
593	kittiwake	kittiwake		seabird	charadriiformes	wild	jordan,clara_global
594	knotwader			wader	charadriiformes	wild	clara_birds,jordan,clara_global
595	kookaburra	kookaburra	Dacelo	kingfisher	coraciiformes	unknown	clara_nam
596	korean_native_chicken	koreannativechicken	Gallus gallus	chicken	galliformes	domestic	clara_birds
597	koreannativechicken	koreannativechicken	Gallus gallus	chicken	galliformes	domestic	jordan,clara_global
598	ladyamherstspheasant	ladyamherstspheasant	Chrysolophus amherstiae	pheasant	galliformes	domestic	clara_nam,clara_birds,clara_global
599	lapwing			wader	charadriiformes	wild	jordan,clara_global
600	large_billedcrow	largebilledcrow	Corvus macrorhynchos	passerine	passeriformes	wild	clara_birds
601	large-billedcrow	largebilledcrow	Corvus macrorhynchos	passerine	passeriformes	wild	clara_birds
602	largebilledcrow	largebilledcrow	Corvus macrorhynchos	passerine	passeriformes	wild	clara_birds,clara_global
603	laridae	gull		gull	charadriiformes	wild	clara_nam,clara_global
604	larkbunting	larkbunting	Calamospiza melanocorys	passerine	passeriformes	wild	clara_nam
605	larksparrow	larksparrow	Chondestes grammacus	passerine	passeriformes	wild	clara_nam
606	larus			gull	charadriiformes	wild	jordan,clara_global
607	larus_argentatus	eurasianherringgull	Larus argentatus	gull	charadriiformes	wild	clara_birds
608	larus_atricilla	laughinggull	Leucophaeus atricilla	gull	charadriiformes	wild	clara_birds
609	larus_glaucescens	glaucouswingedgull	Larus glaucescens	gull	charadriiformes	wild	clara_birds
610	larus_hyperboreus	glaucousgull	Larus hyperboreus	gull	charadriiformes	wild	clara_birds
611	larusargentatus	eurasianherringgull	Larus argentatus	gull	charadriiformes	wild	clara_birds,clara_global
612	laruscachinnans	caspiangull	Larus cachinnans	gull	charadriiformes	wild	jordan
613	laruscanus	commongull	Larus canus	gull	charadriiformes	wild	clara_birds,clara_global
614	larusmarinus	greatblackbackedgull	Larus marinus	gull	charadriiformes	wild	jordan,clara_global
615	larusmichaellis	yellowleggedgull	Larus michahellis	gull	charadriiformes	wild	jordan
616	larusmichahellis	yellowleggedgull	Larus michahellis	gull	charadriiformes	wild	jordan
617	larusridibundus	blackheadedgull	Larus ridibundus	gull	charadriiformes	wild	clara_birds,clara_global
618	laughinggull	laughinggull	Leucophaeus atricilla	gull	charadriiformes	wild	clara_nam,clara_global
619	layer	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,clara_global
620	layerchicken	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_birds,clara_global
621	layinghen	chicken	Gallus gallus	chicken	galliformes	domestic	clara_birds,clara_global
622	lblbagull	lesserblackbackedgull	Larus fuscus	gull	charadriiformes	wild	jordan
623	leastsandpiper	leastsandpiper	Calidris minutilla	wader	charadriiformes	wild	jordan
624	lesser_scaup	lesserscaup	Aythya affinis	duck	anseriformes	wild	clara_birds
