strain_host	corrected_host	latin_name	category	order	domesticstatus	source
phasianuscolchicus	common_pheasant		pheasant	galliformes		clara_birds,clara_global
pheasant	pheasant	Phasianus colchicus	pheasant	galliformes	unknown	clara_nam,clara_birds,clara_global
picapica						jordan,clara_global
pied_megpie	Australian_magpie		passerine	passeriformes		clara_birds
piedbilledgrebe	piedbilledgrebe	Podilymbus podiceps	grebe	podicipediformes	wild	clara_nam
piedmegpie	Australian_magpie		passerine	passeriformes		clara_birds
pig	swine		swine	swine		clara_birds
pigeon	pigeon	Columba	dove	columbiformes	wild	clara_nam,clara_birds,clara_global
pink-eared_duck	pink-eared_duck		duck	anseriformes		clara_birds
pinkfootedgoose	pinkfootedgoose	Anser brachyrhynchus	goose	anseriformes	wild	jordan,clara_global
pintail	northernpintail	Anas acuta	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
pintail_duck	northern_pintail		duck	anseriformes		clara_birds
plushcrestedjay	plushcrestedjay	Cyanocorax chrysops	passerine	passeriformes	unknown	clara_nam
pluvialisdominica						jordan
pochard	common_pochard		duck	anseriformes		clara_birds
pochardduck						jordan
podicepscristatus						jordan
polarskua						jordan,clara_global
pomeraniangoose						jordan,clara_global
poultry	chicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_global
prairiefalcon	prairiefalcon	Falco mexicanus	raptor	falconiformes	wild	clara_nam
procellariaaequinoctialis						jordan
psittacine	parrot		parrot	psittaciformes		clara_birds
punateal	punateal	Spatula puna	duck	anseriformes	unknown	clara_nam
qa	avian		avian	avian		clara_birds
qu	quail		quail	galliformes		clara_birds
quail	quail		quail	galliformes	unknown	clara_nam,clara_birds,clara_global
radjahshelduck						jordan
rails						jordan
raptor						jordan
raven	commonraven	Corvus	passerine	passeriformes	wild	clara_nam,clara_global
raxorbill	razorbill	Alca torda	gull	charadriiformes	wild	clara_nam,clara_global
razorbill	razorbill	Alca torda	gull	charadriiformes	wild	clara_nam,clara_global
rbpochard	red-chested_pochard		duck	anseriformes		clara_birds
red-billedstarling	read-breasted_starling		passerine	passeriformes		clara_birds
red-crested_pochard	red-crested_pochard		duck	anseriformes		clara_birds
red-fronted_coot	red-fronted_coot		coot	gruiformes		clara_birds
red-gartered_coot	red-gartered_coot		coot	gruiformes		clara_birds
red-necked_grebe	red-necked_grebe		grebe	podicipediformes		clara_birds
red-necked_stint	red-necked_stint		wader	charadriiformes		clara_birds
red_crested_pochard	red-crested_pochard		duck	anseriformes		clara_birds
redbackedhawk	red-backed_hawk		raptor	accipitriformes		clara_birds,jordan,clara_global
redbreastedgoose	redbreastedgoose	Branta ruficollis	goose	anseriformes	unknown	clara_nam
redbreastedmerganser	redbreastedmerganser	Mergus serrator	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
redcrownedcrane	red-crowned_crane		crane	gruiformes		clara_birds,jordan,clara_global
redhead	redheadduck	Aythya americana	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
redheadduck	redheadduck	Aythya americana	duck	anseriformes	wild	clara_nam,clara_global
redkite						jordan
redknot	red_knot	Calidris canutus	wader	charadriiformes	wild	clara_birds,jordan,clara_global
redneckedgrebe	redneckedgrebe	Podiceps grisegena	grebe	podicipediformes	wild	clara_nam,clara_global
redneckedphalarope	redneckedphalarope	Phalaropus lobatus	wader	charadriiformes	wild 	clara_nam,clara_global
redshoulderedhawk	redshoulderedhawk	Buteo lineatus	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
redtailedhawk	redtailedhawk	Buteo jamaicensis	raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
redwingedblackbird	redwingedblackbird	Agelaius phoeniceus	passerine	passeriformes	wild	clara_nam
rhea	rhea	Rhea	rhea	rheiformes	unknown	clara_nam,clara_birds,clara_global
ringbilledgull	ringbilledgull	Larus delawarensis	gull	charadriiformes	wild	clara_nam,clara_global
ringneckedduck	ringneckedduck	Aythya collaris	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
ringneckedpheasant	ringneckedpheasant	Phasianus colchicus	pheasant	galliformes	wild	clara_nam,clara_global
ringtailedhawk	northernharrier	Circus hudsonius	raptor	accipitriformes	wild	clara_nam
rissatridactyla						jordan,clara_global
robin	robin		passerine	passeriformes		clara_birds
rockpigeon	rockpigeon	Columba livia	pigeon	columbiformes	wild	clara_nam,clara_global
rollers	roller		roller	coraciiformes		clara_birds
rook	rook		passerine	passeriformes		clara_birds
rooster	rooster		chicken	galliformes		clara_birds,clara_global
roseatespoonbill	roseatespoonbill	Platalea ajaja	wader	pelecaniformes	wild	clara_nam
rosssgoose	rosssgoose	Anser rossii	goose	anseriformes	wild	clara_nam,clara_global
rossssgoose	rosssgoose	Anser rossii	goose	anseriformes	wild	clara_nam
rosybilledpochard						jordan
